"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2006","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","6.6",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","10.1",""
"2006","Germany (until 1990 former territory of the FRG)","Less than 25 years","Thousand persons","Total","640",""
"2006","Germany (until 1990 former territory of the FRG)","Less than 25 years","Percentage of total population","Total","6.9",""
"2006","Germany (until 1990 former territory of the FRG)","Less than 25 years","Percentage of active population","Total","13.6",""
"2006","Estonia","Total","Thousand persons","Total","41",""
"2006","Estonia","Total","Percentage of total population","Total","3.9",""
"2006","Estonia","Total","Percentage of active population","Total","5.9",""
"2006","Estonia","Less than 25 years","Thousand persons","Total","9",""
"2006","Estonia","Less than 25 years","Percentage of total population","Total","4.3",""
"2006","Estonia","Less than 25 years","Percentage of active population","Total","12.1",""
"2006","Ireland","Total","Thousand persons","Total","97",""
"2006","Ireland","Total","Percentage of total population","Total","3.0",""
"2006","Ireland","Total","Percentage of active population","Total","4.5",""
"2006","Ireland","Less than 25 years","Thousand persons","Total","31",""
"2006","Ireland","Less than 25 years","Percentage of total population","Total","4.7",""
"2006","Ireland","Less than 25 years","Percentage of active population","Total","8.7",""
"2006","Greece","Total","Thousand persons","Total","448",""
"2006","Greece","Total","Percentage of total population","Total","5.3",""
"2006","Greece","Total","Percentage of active population","Total","9.0",""
"2006","Greece","Less than 25 years","Thousand persons","Total","106",""
"2006","Greece","Less than 25 years","Percentage of total population","Total","8.0",""
"2006","Greece","Less than 25 years","Percentage of active population","Total","25.0",""
"2006","Spain","Total","Thousand persons","Total","1,841",""
"2006","Spain","Total","Percentage of total population","Total","5.4",""
"2006","Spain","Total","Percentage of active population","Total","8.5",""
"2006","Spain","Less than 25 years","Thousand persons","Total","445",""
"2006","Spain","Less than 25 years","Percentage of total population","Total","8.6",""
"2006","Spain","Less than 25 years","Percentage of active population","Total","17.9",""
"2006","France","Total","Thousand persons","Total","2,482",""
"2006","France","Total","Percentage of total population","Total","5.2",""
"2006","France","Total","Percentage of active population","Total","8.8",""
"2006","France","Less than 25 years","Thousand persons","Total","650",""
"2006","France","Less than 25 years","Percentage of total population","Total","8.1",""
"2006","France","Less than 25 years","Percentage of active population","Total","22.0",""
"2006","Croatia","Total","Thousand persons","Total","215","i"
"2006","Croatia","Total","Percentage of total population","Total","6.4","i"
"2006","Croatia","Total","Percentage of active population","Total","11.6","i"
"2006","Croatia","Less than 25 years","Thousand persons","Total","56","i"
"2006","Croatia","Less than 25 years","Percentage of total population","Total","10.5","i"
"2006","Croatia","Less than 25 years","Percentage of active population","Total","28.8","i"
"2006","Italy","Total","Thousand persons","Total","1,654",""
"2006","Italy","Total","Percentage of total population","Total","3.7",""
"2006","Italy","Total","Percentage of active population","Total","6.8",""
"2006","Italy","Less than 25 years","Thousand persons","Total","419",""
"2006","Italy","Less than 25 years","Percentage of total population","Total","7.0",""
"2006","Italy","Less than 25 years","Percentage of active population","Total","21.8",""
"2006","Cyprus","Total","Thousand persons","Total","17",""
"2006","Cyprus","Total","Percentage of total population","Total","3.1",""
"2006","Cyprus","Total","Percentage of active population","Total","4.6",""
"2006","Cyprus","Less than 25 years","Thousand persons","Total","4",""
"2006","Cyprus","Less than 25 years","Percentage of total population","Total","4.1",""
"2006","Cyprus","Less than 25 years","Percentage of active population","Total","10.0",""
"2006","Latvia","Total","Thousand persons","Total","78",""
"2006","Latvia","Total","Percentage of total population","Total","4.5",""
"2006","Latvia","Total","Percentage of active population","Total","7.0",""
"2006","Latvia","Less than 25 years","Thousand persons","Total","19",""
"2006","Latvia","Less than 25 years","Percentage of total population","Total","5.6",""
"2006","Latvia","Less than 25 years","Percentage of active population","Total","13.6",""
"2006","Lithuania","Total","Thousand persons","Total","88",""
"2006","Lithuania","Total","Percentage of total population","Total","3.5",""
"2006","Lithuania","Total","Percentage of active population","Total","5.8",""
"2006","Lithuania","Less than 25 years","Thousand persons","Total","13",""
"2006","Lithuania","Less than 25 years","Percentage of total population","Total","2.6",""
"2006","Lithuania","Less than 25 years","Percentage of active population","Total","10.0",""
"2006","Luxembourg","Total","Thousand persons","Total","9","i"
"2006","Luxembourg","Total","Percentage of total population","Total","2.8","i"
"2006","Luxembourg","Total","Percentage of active population","Total","4.6","i"
"2006","Luxembourg","Less than 25 years","Thousand persons","Total","2","i"
"2006","Luxembourg","Less than 25 years","Percentage of total population","Total","4.5","i"
"2006","Luxembourg","Less than 25 years","Percentage of active population","Total","15.5","i"
"2006","Hungary","Total","Thousand persons","Total","317",""
"2006","Hungary","Total","Percentage of total population","Total","4.1",""
"2006","Hungary","Total","Percentage of active population","Total","7.5",""
"2006","Hungary","Less than 25 years","Thousand persons","Total","64",""
"2006","Hungary","Less than 25 years","Percentage of total population","Total","5.1",""
"2006","Hungary","Less than 25 years","Percentage of active population","Total","19.1",""
"2006","Malta","Total","Thousand persons","Total","11",""
"2006","Malta","Total","Percentage of total population","Total","3.6",""
"2006","Malta","Total","Percentage of active population","Total","6.8",""
"2006","Malta","Less than 25 years","Thousand persons","Total","5",""
"2006","Malta","Less than 25 years","Percentage of total population","Total","8.2",""
"2006","Malta","Less than 25 years","Percentage of active population","Total","15.5",""
"2006","Netherlands","Total","Thousand persons","Total","419",""
"2006","Netherlands","Total","Percentage of total population","Total","2.7",""
"2006","Netherlands","Total","Percentage of active population","Total","5.0",""
"2006","Netherlands","Less than 25 years","Thousand persons","Total","131",""
"2006","Netherlands","Less than 25 years","Percentage of total population","Total","4.6",""
"2006","Netherlands","Less than 25 years","Percentage of active population","Total","10.0",""
"2006","Austria","Total","Thousand persons","Total","212",""
"2006","Austria","Total","Percentage of total population","Total","3.4",""
"2006","Austria","Total","Percentage of active population","Total","5.3",""
"2006","Austria","Less than 25 years","Thousand persons","Total","56",""
"2006","Austria","Less than 25 years","Percentage of total population","Total","5.7",""
"2006","Austria","Less than 25 years","Percentage of active population","Total","9.8",""
"2006","Poland","Total","Thousand persons","Total","2,311",""
"2006","Poland","Total","Percentage of total population","Total","8.0",""
"2006","Poland","Total","Percentage of active population","Total","13.9",""
"2006","Poland","Less than 25 years","Thousand persons","Total","589",""
"2006","Poland","Less than 25 years","Percentage of total population","Total","10.1",""
"2006","Poland","Less than 25 years","Percentage of active population","Total","29.8",""
"2006","Portugal","Total","Thousand persons","Total","478",""
"2006","Portugal","Total","Percentage of total population","Total","5.7",""
"2006","Portugal","Total","Percentage of active population","Total","8.9",""
"2006","Portugal","Less than 25 years","Thousand persons","Total","118",""
"2006","Portugal","Less than 25 years","Percentage of total population","Total","8.6",""
"2006","Portugal","Less than 25 years","Percentage of active population","Total","21.2",""
"2006","Romania","Total","Thousand persons","Total","719",""
"2006","Romania","Total","Percentage of total population","Total","4.3",""
"2006","Romania","Total","Percentage of active population","Total","7.2",""
"2006","Romania","Less than 25 years","Thousand persons","Total","214",""
"2006","Romania","Less than 25 years","Percentage of total population","Total","6.6",""
"2006","Romania","Less than 25 years","Percentage of active population","Total","20.2",""
"2006","Slovenia","Total","Thousand persons","Total","61",""
"2006","Slovenia","Total","Percentage of total population","Total","3.8",""
"2006","Slovenia","Total","Percentage of active population","Total","6.0",""
"2006","Slovenia","Less than 25 years","Thousand persons","Total","15",""
"2006","Slovenia","Less than 25 years","Percentage of total population","Total","5.6",""
"2006","Slovenia","Less than 25 years","Percentage of active population","Total","13.9",""
"2006","Slovakia","Total","Thousand persons","Total","353",""
"2006","Slovakia","Total","Percentage of total population","Total","8.4",""
"2006","Slovakia","Total","Percentage of active population","Total","13.5",""
"2006","Slovakia","Less than 25 years","Thousand persons","Total","81",""
"2006","Slovakia","Less than 25 years","Percentage of total population","Total","9.5",""
"2006","Slovakia","Less than 25 years","Percentage of active population","Total","27.0",""
"2006","Finland","Total","Thousand persons","Total","204",""
"2006","Finland","Total","Percentage of total population","Total","5.2",""
"2006","Finland","Total","Percentage of active population","Total","7.7",""
"2006","Finland","Less than 25 years","Thousand persons","Total","61",""
"2006","Finland","Less than 25 years","Percentage of total population","Total","9.7",""
"2006","Finland","Less than 25 years","Percentage of active population","Total","18.7",""
"2006","Sweden","Total","Thousand persons","Total","336",""
"2006","Sweden","Total","Percentage of total population","Total","5.0",""
"2006","Sweden","Total","Percentage of active population","Total","7.1",""
"2006","Sweden","Less than 25 years","Thousand persons","Total","125",""
"2006","Sweden","Less than 25 years","Percentage of total population","Total","11.0",""
"2006","Sweden","Less than 25 years","Percentage of active population","Total","21.5",""
"2006","United Kingdom","Total","Thousand persons","Total","1,640",""
"2006","United Kingdom","Total","Percentage of total population","Total","3.7",""
"2006","United Kingdom","Total","Percentage of active population","Total","5.4",""
"2006","United Kingdom","Less than 25 years","Thousand persons","Total","658",""
"2006","United Kingdom","Less than 25 years","Percentage of total population","Total","8.7",""
"2006","United Kingdom","Less than 25 years","Percentage of active population","Total","13.9",""
"2006","Iceland","Total","Thousand persons","Total","5",""
"2006","Iceland","Total","Percentage of total population","Total","2.3",""
"2006","Iceland","Total","Percentage of active population","Total","2.9",""
"2006","Iceland","Less than 25 years","Thousand persons","Total","2",""
"2006","Iceland","Less than 25 years","Percentage of total population","Total","6.5",""
"2006","Iceland","Less than 25 years","Percentage of active population","Total","8.2",""
"2006","Norway","Total","Thousand persons","Total","84","b"
"2006","Norway","Total","Percentage of total population","Total","2.4","b"
"2006","Norway","Total","Percentage of active population","Total","3.4","b"
"2006","Norway","Less than 25 years","Thousand persons","Total","30","b"
"2006","Norway","Less than 25 years","Percentage of total population","Total","5.0","b"
"2006","Norway","Less than 25 years","Percentage of active population","Total","8.8","b"
"2006","Turkey","Total","Thousand persons","Total","1,983",""
"2006","Turkey","Total","Percentage of total population","Total","4.1",""
"2006","Turkey","Total","Percentage of active population","Total","9.0",""
"2006","Turkey","Less than 25 years","Thousand persons","Total","694",""
"2006","Turkey","Less than 25 years","Percentage of total population","Total","6.0",""
"2006","Turkey","Less than 25 years","Percentage of active population","Total","16.5",""
"2006","United States","Total","Thousand persons","Total","7,001",""
"2006","United States","Total","Percentage of total population","Total",":",""
"2006","United States","Total","Percentage of active population","Total","4.6",""
"2006","United States","Less than 25 years","Thousand persons","Total","2,353",""
"2006","United States","Less than 25 years","Percentage of total population","Total",":",""
"2006","United States","Less than 25 years","Percentage of active population","Total","10.5",""
"2006","Japan","Total","Thousand persons","Total","2,751",""
"2006","Japan","Total","Percentage of total population","Total",":",""
"2006","Japan","Total","Percentage of active population","Total","4.1",""
"2006","Japan","Less than 25 years","Thousand persons","Total","500",""
"2006","Japan","Less than 25 years","Percentage of total population","Total",":",""
"2006","Japan","Less than 25 years","Percentage of active population","Total","8.0",""
"2007","European Union (28 countries)","Total","Thousand persons","Total","16,988",""
"2007","European Union (28 countries)","Total","Percentage of total population","Total","4.5",""
"2007","European Union (28 countries)","Total","Percentage of active population","Total","7.2",""
"2007","European Union (28 countries)","Less than 25 years","Thousand persons","Total","4,242",""
"2007","European Union (28 countries)","Less than 25 years","Percentage of total population","Total","6.9",""
"2007","European Union (28 countries)","Less than 25 years","Percentage of active population","Total","15.9",""
"2007","European Union (27 countries)","Total","Thousand persons","Total","16,797",""
"2007","European Union (27 countries)","Total","Percentage of total population","Total","4.5",""
"2007","European Union (27 countries)","Total","Percentage of active population","Total","7.2",""
"2007","European Union (27 countries)","Less than 25 years","Thousand persons","Total","4,193",""
"2007","European Union (27 countries)","Less than 25 years","Percentage of total population","Total","6.8",""
"2007","European Union (27 countries)","Less than 25 years","Percentage of active population","Total","15.8",""
"2007","European Union (25 countries)","Total","Thousand persons","Total","15,921",""
"2007","European Union (25 countries)","Total","Percentage of total population","Total","4.5",""
"2007","European Union (25 countries)","Total","Percentage of active population","Total","7.2",""
"2007","European Union (25 countries)","Less than 25 years","Thousand persons","Total","3,953",""
"2007","European Union (25 countries)","Less than 25 years","Percentage of total population","Total","6.9",""
"2007","European Union (25 countries)","Less than 25 years","Percentage of active population","Total","15.7",""
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total","11,238",""
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total","4.6",""
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total","7.5",""
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 25 years","Thousand persons","Total","2,527",""
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 25 years","Percentage of total population","Total","6.8",""
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Less than 25 years","Percentage of active population","Total","15.6",""
"2007","Euro area (19 countries)","Total","Thousand persons","Total","11,722",""
"2007","Euro area (19 countries)","Total","Percentage of total population","Total","4.6",""
"2007","Euro area (19 countries)","Total","Percentage of active population","Total","7.5",""
"2007","Euro area (19 countries)","Less than 25 years","Thousand persons","Total","2,629",""
"2007","Euro area (19 countries)","Less than 25 years","Percentage of total population","Total","6.7",""
"2007","Euro area (19 countries)","Less than 25 years","Percentage of active population","Total","15.6",""
"2007","Euro area (18 countries)","Total","Thousand persons","Total","11,658",""
"2007","Euro area (18 countries)","Total","Percentage of total population","Total","4.7",""
"2007","Euro area (18 countries)","Total","Percentage of active population","Total","7.5",""
"2007","Euro area (18 countries)","Less than 25 years","Thousand persons","Total","2,618",""
"2007","Euro area (18 countries)","Less than 25 years","Percentage of total population","Total","6.7",""
"2007","Euro area (18 countries)","Less than 25 years","Percentage of active population","Total","15.6",""
"2007","Belgium","Total","Thousand persons","Total","353",""
"2007","Belgium","Total","Percentage of total population","Total","4.5",""
"2007","Belgium","Total","Percentage of active population","Total","7.5",""
"2007","Belgium","Less than 25 years","Thousand persons","Total","82",""
"2007","Belgium","Less than 25 years","Percentage of total population","Total","6.4",""
"2007","Belgium","Less than 25 years","Percentage of active population","Total","18.8",""
"2007","Bulgaria","Total","Thousand persons","Total","242",""
"2007","Bulgaria","Total","Percentage of total population","Total","4.0",""
"2007","Bulgaria","Total","Percentage of active population","Total","6.9",""
"2007","Bulgaria","Less than 25 years","Thousand persons","Total","44",""
"2007","Bulgaria","Less than 25 years","Percentage of total population","Total","4.2",""
"2007","Bulgaria","Less than 25 years","Percentage of active population","Total","14.1",""
"2007","Czech Republic","Total","Thousand persons","Total","276",""
"2007","Czech Republic","Total","Percentage of total population","Total","3.4",""
"2007","Czech Republic","Total","Percentage of active population","Total","5.3",""
"2007","Czech Republic","Less than 25 years","Thousand persons","Total","46",""
"2007","Czech Republic","Less than 25 years","Percentage of total population","Total","3.4",""
"2007","Czech Republic","Less than 25 years","Percentage of active population","Total","10.7",""
"2007","Denmark","Total","Thousand persons","Total","111",""
"2007","Denmark","Total","Percentage of total population","Total","2.7",""
"2007","Denmark","Total","Percentage of active population","Total","3.8",""
"2007","Denmark","Less than 25 years","Thousand persons","Total","32",""
"2007","Denmark","Less than 25 years","Percentage of total population","Total","5.3",""
"2007","Denmark","Less than 25 years","Percentage of active population","Total","7.5",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,473",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","5.6",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","8.5",""
"2007","Germany (until 1990 former territory of the FRG)","Less than 25 years","Thousand persons","Total","561",""
"2007","Germany (until 1990 former territory of the FRG)","Less than 25 years","Percentage of total population","Total","6.1",""
"2007","Germany (until 1990 former territory of the FRG)","Less than 25 years","Percentage of active population","Total","11.8",""
"2007","Estonia","Total","Thousand persons","Total","32",""
"2007","Estonia","Total","Percentage of total population","Total","3.0",""
"2007","Estonia","Total","Percentage of active population","Total","4.6",""
"2007","Estonia","Less than 25 years","Thousand persons","Total","7",""
"2007","Estonia","Less than 25 years","Percentage of total population","Total","3.8",""
"2007","Estonia","Less than 25 years","Percentage of active population","Total","10.1",""
"2007","Ireland","Total","Thousand persons","Total","105",""
"2007","Ireland","Total","Percentage of total population","Total","3.2",""
"2007","Ireland","Total","Percentage of active population","Total","4.7",""
"2007","Ireland","Less than 25 years","Thousand persons","Total","34",""
"2007","Ireland","Less than 25 years","Percentage of total population","Total","5.1",""
"2007","Ireland","Less than 25 years","Percentage of active population","Total","9.1",""
"2007","Greece","Total","Thousand persons","Total","418",""
"2007","Greece","Total","Percentage of total population","Total","4.9",""
"2007","Greece","Total","Percentage of active population","Total","8.4",""
"2007","Greece","Less than 25 years","Thousand persons","Total","90",""
"2007","Greece","Less than 25 years","Percentage of total population","Total","7.0",""
"2007","Greece","Less than 25 years","Percentage of active population","Total","22.7",""
"2007","Spain","Total","Thousand persons","Total","1,846",""
"2007","Spain","Total","Percentage of total population","Total","5.3",""
"2007","Spain","Total","Percentage of active population","Total","8.2",""
"2007","Spain","Less than 25 years","Thousand persons","Total","445",""
"2007","Spain","Less than 25 years","Percentage of total population","Total","8.7",""
"2007","Spain","Less than 25 years","Percentage of active population","Total","18.1",""
"2007","France","Total","Thousand persons","Total","2,268",""
"2007","France","Total","Percentage of total population","Total","4.8",""
"2007","France","Total","Percentage of active population","Total","8.0",""
"2007","France","Less than 25 years","Thousand persons","Total","575",""
"2007","France","Less than 25 years","Percentage of total population","Total","7.2",""
"2007","France","Less than 25 years","Percentage of active population","Total","19.5",""
"2007","Croatia","Total","Thousand persons","Total","191",""
"2007","Croatia","Total","Percentage of total population","Total","5.7",""
"2007","Croatia","Total","Percentage of active population","Total","9.9",""
"2007","Croatia","Less than 25 years","Thousand persons","Total","49",""
"2007","Croatia","Less than 25 years","Percentage of total population","Total","9.2",""
"2007","Croatia","Less than 25 years","Percentage of active population","Total","25.2",""
"2007","Italy","Total","Thousand persons","Total","1,481",""
"2007","Italy","Total","Percentage of total population","Total","3.3",""
"2007","Italy","Total","Percentage of active population","Total","6.1",""
"2007","Italy","Less than 25 years","Thousand persons","Total","372",""
"2007","Italy","Less than 25 years","Percentage of total population","Total","6.3",""
"2007","Italy","Less than 25 years","Percentage of active population","Total","20.4",""
"2007","Cyprus","Total","Thousand persons","Total","15",""
"2007","Cyprus","Total","Percentage of total population","Total","2.7",""
"2007","Cyprus","Total","Percentage of active population","Total","3.9",""
"2007","Cyprus","Less than 25 years","Thousand persons","Total","4",""
"2007","Cyprus","Less than 25 years","Percentage of total population","Total","4.2",""
"2007","Cyprus","Less than 25 years","Percentage of active population","Total","10.2",""
"2007","Latvia","Total","Thousand persons","Total","68",""
"2007","Latvia","Total","Percentage of total population","Total","4.0",""
"2007","Latvia","Total","Percentage of active population","Total","6.1",""
"2007","Latvia","Less than 25 years","Thousand persons","Total","15",""
"2007","Latvia","Less than 25 years","Percentage of total population","Total","4.5",""
"2007","Latvia","Less than 25 years","Percentage of active population","Total","10.6",""
"2007","Lithuania","Total","Thousand persons","Total","64",""
"2007","Lithuania","Total","Percentage of total population","Total","2.6",""
"2007","Lithuania","Total","Percentage of active population","Total","4.3",""
"2007","Lithuania","Less than 25 years","Thousand persons","Total","11",""
"2007","Lithuania","Less than 25 years","Percentage of total population","Total","2.3",""
"2007","Lithuania","Less than 25 years","Percentage of active population","Total","8.4",""
"2007","Luxembourg","Total","Thousand persons","Total","9",""
"2007","Luxembourg","Total","Percentage of total population","Total","2.4",""
"2007","Luxembourg","Total","Percentage of active population","Total","4.2",""
"2007","Luxembourg","Less than 25 years","Thousand persons","Total","2",""
"2007","Luxembourg","Less than 25 years","Percentage of total population","Total","4.0",""
"2007","Luxembourg","Less than 25 years","Percentage of active population","Total","15.6",""
"2007","Hungary","Total","Thousand persons","Total","312",""
"2007","Hungary","Total","Percentage of total population","Total","4.1",""
"2007","Hungary","Total","Percentage of active population","Total","7.4",""
"2007","Hungary","Less than 25 years","Thousand persons","Total","58",""
"2007","Hungary","Less than 25 years","Percentage of total population","Total","4.6",""
"2007","Hungary","Less than 25 years","Percentage of active population","Total","18.1",""
"2007","Malta","Total","Thousand persons","Total","11",""
"2007","Malta","Total","Percentage of total population","Total","3.4",""
"2007","Malta","Total","Percentage of active population","Total","6.5",""
"2007","Malta","Less than 25 years","Thousand persons","Total","4",""
"2007","Malta","Less than 25 years","Percentage of total population","Total","7.3",""
"2007","Malta","Less than 25 years","Percentage of active population","Total","13.5",""
"2007","Netherlands","Total","Thousand persons","Total","355",""
"2007","Netherlands","Total","Percentage of total population","Total","2.3",""
"2007","Netherlands","Total","Percentage of active population","Total","4.2",""
"2007","Netherlands","Less than 25 years","Thousand persons","Total","128",""
"2007","Netherlands","Less than 25 years","Percentage of total population","Total","4.3",""
"2007","Netherlands","Less than 25 years","Percentage of active population","Total","9.4",""
"2007","Austria","Total","Thousand persons","Total","200",""
"2007","Austria","Total","Percentage of total population","Total","3.2",""
"2007","Austria","Total","Percentage of active population","Total","4.9",""
"2007","Austria","Less than 25 years","Thousand persons","Total","55",""
"2007","Austria","Less than 25 years","Percentage of total population","Total","5.6",""
"2007","Austria","Less than 25 years","Percentage of active population","Total","9.4",""
"2007","Poland","Total","Thousand persons","Total","1,579",""
"2007","Poland","Total","Percentage of total population","Total","5.5",""
"2007","Poland","Total","Percentage of active population","Total","9.6",""
"2007","Poland","Less than 25 years","Thousand persons","Total","398",""
"2007","Poland","Less than 25 years","Percentage of total population","Total","7.1",""
"2007","Poland","Less than 25 years","Percentage of active population","Total","21.6",""
"2007","Portugal","Total","Thousand persons","Total","494",""
"2007","Portugal","Total","Percentage of total population","Total","6.0",""
"2007","Portugal","Total","Percentage of active population","Total","9.1",""
"2007","Portugal","Less than 25 years","Thousand persons","Total","116",""
"2007","Portugal","Less than 25 years","Percentage of total population","Total","8.6",""
"2007","Portugal","Less than 25 years","Percentage of active population","Total","21.4",""
"2007","Romania","Total","Thousand persons","Total","634",""
"2007","Romania","Total","Percentage of total population","Total","3.8",""
"2007","Romania","Total","Percentage of active population","Total","6.4",""
"2007","Romania","Less than 25 years","Thousand persons","Total","197",""
"2007","Romania","Less than 25 years","Percentage of total population","Total","6.1",""
"2007","Romania","Less than 25 years","Percentage of active population","Total","19.3",""
"2007","Slovenia","Total","Thousand persons","Total","50",""
"2007","Slovenia","Total","Percentage of total population","Total","3.1",""
"2007","Slovenia","Total","Percentage of active population","Total","4.9",""
"2007","Slovenia","Less than 25 years","Thousand persons","Total","11",""
"2007","Slovenia","Less than 25 years","Percentage of total population","Total","4.2",""
"2007","Slovenia","Less than 25 years","Percentage of active population","Total","10.1",""
"2007","Slovakia","Total","Thousand persons","Total","293",""
"2007","Slovakia","Total","Percentage of total population","Total","7.0",""
